hotel_id,hotel_name,address,city,state,star_rating,url,photo1,photo2,photo3,photo4,photo5,overview,number_of_reviews,rating_average,price
230350,Hotel Horison Sagita Balikpapan,Jalan Mayjend Sutoyo 69,Balikpapan,East Kalimantan,"3,00",https://www.agoda.com/partners/partnersearch.aspx?hid=230350,http://pix3.agoda.net/hotelimages/230/230350/230350_17011610030050332429.jpg?s=312x,http://pix1.agoda.net/hotelimages/230/230350/230350_14062712110020063975.jpg?s=312x,http://pix2.agoda.net/hotelimages/230/230350/230350_16110317070048398073.jpg?s=312x,http://pix3.agoda.net/hotelimages/230/230350/230350_16110317070048398076.jpg?s=312x,http://pix3.agoda.net/hotelimages/230/230350/230350_16110317070048398079.jpg?s=312x,"Located in Balikpapan City Center, Hotel Sagita is a perfect starting point from which to explore Balikpapan. The hotel offers a high standard of service and amenities to suit the individual needs of all travelers. Facilities like 24-hour room service, free Wi-Fi in all rooms, 24-hour front desk, express check-in/check-out, luggage storage are readily available for you to enjoy. Guestrooms are designed to provide an optimal level of comfort with welcoming decor and some offering convenient amenities like towels, television LCD/plasma screen, internet access – wireless, internet access – wireless (complimentary), non smoking rooms. The hotel's peaceful atmosphere extends to its recreational facilities which include fitness center, outdoor pool, spa, massage, pool (kids). Friendly staff, great facilities and close proximity to all that Balikpapan has to offer are three great reasons you should stay at Hotel Sagita.",116,"7,10",353637
230351,Kapuas Palace Hotel,Jalan Gajahmada No 889,Pontianak,West Kalimantan,"3,00",https://www.agoda.com/partners/partnersearch.aspx?hid=230351,http://pix1.agoda.net/hotelimages/230351/-1/1758bc42db166a0948095fc15522e1d0.jpg?s=312x,http://pix1.agoda.net/hotelimages/230/230351/230351_16080922530045351183.jpg?s=312x,http://pix3.agoda.net/hotelimages/230/230351/230351_14062712390020064323.jpg?s=312x,http://pix4.agoda.net/hotelimages/230/230351/230351_14062712390020064324.jpg?s=312x,http://pix3.agoda.net/hotelimages/230/230351/230351_14062712390020064325.jpg?s=312x,"Kapuas Palace Hotel is conveniently located in the popular Pontianak City Center area. The hotel has everything you need for a comfortable stay. To be found at the hotel are 24-hour room service, free Wi-Fi in all rooms, 24-hour security, gift/souvenir shop, 24-hour front desk. Television LCD/plasma screen, complimentary instant coffee, slippers, sofa, internet access – wireless (complimentary) can be found in selected guestrooms. To enhance guests' stay, the hotel offers recreational facilities such as sauna, outdoor pool, massage, pool (kids), garden. No matter what your reasons are for visiting Pontianak, Kapuas Palace Hotel will make you feel instantly at home.",518,"7,50",204709
230360,Hotel Pacific Balikpapan,Jalan Jendral Ahmad Yani No 33,Balikpapan,East Kalimantan,"3,00",https://www.agoda.com/partners/partnersearch.aspx?hid=230360,http://pix4.agoda.net/hotelimages/230/230360/230360_15082709470035158039.jpg?s=312x,http://pix4.agoda.net/hotelimages/230/230360/230360_14062718000020074026.jpg?s=312x,http://pix1.agoda.net/hotelimages/230/230360/230360_15082709470035158040.jpg?s=312x,http://pix1.agoda.net/hotelimages/230/230360/230360_15082709470035158041.jpg?s=312x,http://pix5.agoda.net/hotelimages/230/230360/230360_15082709470035158042.jpg?s=312x,"Hotel Pacific Balikpapan is conveniently located in the popular Balikpapan City Center area. The hotel has everything you need for a comfortable stay. Free Wi-Fi in all rooms, 24-hour front desk, 24-hour room service, Wi-Fi in public areas, car park are just some of the facilities on offer. Each guestroom is elegantly furnished and equipped with handy amenities. Access to the hotel's fitness center will further enhance your satisfying stay. Hotel Pacific Balikpapan combines warm hospitality with a lovely ambiance to make your stay in Balikpapan unforgettable.",63,"7,10",347677
230390,d Omah Hotel Yogya,"Tembi, Jalan Parangtritis Km 8.5, Timbulharjo, Sewon",Yogyakarta,D.I. Yogyakarta,"3,00",https://www.agoda.com/partners/partnersearch.aspx?hid=230390,http://pix5.agoda.net/hotelimages/230390/-1/b8b3f22bfcabca598e70e6569678d0ff.jpg?s=312x,http://pix3.agoda.net/hotelimages/230/230390/230390_17091309040056273581.jpg?s=312x,http://pix4.agoda.net/hotelimages/230/230390/230390_15082908050035326636.jpg?s=312x,http://pix3.agoda.net/hotelimages/230/230390/230390_16111108080048630119.jpg?s=312x,http://pix1.agoda.net/hotelimages/230/230390/230390_17011511210050325503.jpg?s=312x,"The 3-star d Omah Hotel Yogya offers comfort and convenience whether you're on business or holiday in Yogyakarta. The property features a wide range of facilities to make your stay a pleasant experience. Free Wi-Fi in all rooms, 24-hour security, daily housekeeping, taxi service, gift/souvenir shop are on the list of things guests can enjoy. Some of the well-appointed guestrooms feature television LCD/plasma screen, additional toilet, complimentary instant coffee, complimentary tea, free welcome drink. The hotel offers various recreational opportunities. For reliable service and professional staff, d Omah Hotel Yogya caters to your needs.",361,"8,50",756198
230391,Eclipse Hotel Prawirotaman,Jalan Prawirotaman No. 35,Yogyakarta,D.I. Yogyakarta,"2,00",https://www.agoda.com/partners/partnersearch.aspx?hid=230391,http://pix3.agoda.net/hotelimages/230391/-1/34adb7985154abd30e94a2d226dcbb9e.jpg?s=312x,http://pix5.agoda.net/hotelimages/230/230391/230391_17020422290050782932.jpg?s=312x,http://pix3.agoda.net/hotelimages/230/230391/230391_15052822210027973623.jpg?s=312x,http://pix3.agoda.net/hotelimages/230/230391/230391_15052822210027973626.jpg?s=312x,http://pix3.agoda.net/hotelimages/230/230391/230391_15052822210027973627.jpg?s=312x,"Eclipse Hotel is conveniently located in the popular Kota Gede area. The hotel offers a wide range of amenities and perks to ensure you have a great time. All the necessary facilities, including 24-hour room service, free Wi-Fi in all rooms, 24-hour security, 24-hour front desk, Wi-Fi in public areas, are at hand. Guestrooms are designed to provide an optimal level of comfort with welcoming decor and some offering convenient amenities like television LCD/plasma screen, free welcome drink, towels, internet access – wireless (complimentary), non smoking rooms. Recuperate from a full day of sightseeing in the comfort of your room or take advantage of the hotel's recreational facilities, including outdoor pool. For reliable service and professional staff, Eclipse Hotel caters to your needs.",471,"8,50",239932
230396,Grand Jatra Hotel Balikpapan,Jalan Jendral Sudirman No 47,Balikpapan,East Kalimantan,"5,00",https://www.agoda.com/partners/partnersearch.aspx?hid=230396,http://pix3.agoda.net/hotelimages/230396/-1/edb4929e7907b996129ac5f302c7bbee.jpg?s=312x,,,,,"Grand Jatra Hotel Balikpapan is a popular choice amongst travelers in Balikpapan, whether exploring or just passing through. The hotel offers a wide range of amenities and perks to ensure you have a great time. Free Wi-Fi in all rooms, 24-hour room service, Wi-Fi in public areas, car park, room service are just some of the facilities on offer. Comfortable guestrooms ensure a good night's sleep with some rooms featuring facilities such as internet access – wireless, internet access – wireless (complimentary), non smoking rooms, air conditioning, wake-up service. Access to the hotel's hot tub, fitness center, sauna, outdoor pool, spa will further enhance your satisfying stay. Convenience and comfort makes Grand Jatra Hotel Balikpapan the perfect choice for your stay in Balikpapan.",640,"7,90",817261
230397,eL Hotel Royale Bandung,Jl. Merdeka 2,Bandung,West Java,"4,00",https://www.agoda.com/partners/partnersearch.aspx?hid=230397,http://pix4.agoda.net/hotelimages/230/230397/230397_16060214560043061724.jpg?s=312x,http://pix1.agoda.net/hotelimages/230/230397/230397_14021809590018369447.jpg?s=312x,http://pix2.agoda.net/hotelimages/230/230397/230397_14121808550024032888.jpg?s=312x,http://pix1.agoda.net/hotelimages/230/230397/230397_14121808590024033060.jpg?s=312x,http://pix1.agoda.net/hotelimages/230/230397/230397_14121908410024060452.jpg?s=312x,"Stop at Grand Royal Panghegar Hotel Bandung to discover the wonders of Bandung. The property features a wide range of facilities to make your stay a pleasant experience. All the necessary facilities, including 24-hour room service, free Wi-Fi in all rooms, 24-hour security, daily housekeeping, taxi service, are at hand. Guestrooms are designed to provide an optimal level of comfort with welcoming decor and some offering convenient amenities like television LCD/plasma screen, additional toilet, clothes rack, complimentary instant coffee, complimentary tea. Access to the hotel's hot tub, fitness center, outdoor pool, spa, massage will further enhance your satisfying stay. For reliable service and professional staff, Grand Royal Panghegar Hotel Bandung caters to your needs.",5325,"7,80",572250
230398,Grand Surya Hotel Kediri,Jalan Doho 95,Kediri,East Java,"4,00",https://www.agoda.com/partners/partnersearch.aspx?hid=230398,http://pix1.agoda.net/hotelimages/230/230398/230398_17021711360051086136.jpg?s=312x,http://pix4.agoda.net/hotelimages/230398/-1/6bd574f9dd398da857f2cf610c45fd35.jpg?s=312x,http://pix1.agoda.net/hotelimages/230398/-1/fb14a850878915a1b574b5eb2233ff52.jpg?s=312x,http://pix3.agoda.net/hotelimages/230398/-1/98df61a4bead2e2627bf41a4797bbaa5.jpg?s=312x,http://pix4.agoda.net/hotelimages/230398/-1/6c0574e51292c72bd72f752b5d87443d.jpg?s=312x,"Stop at Grand Surya Hotel Kediri to discover the wonders of Kediri. Featuring a complete list of amenities, guests will find their stay at the property a comfortable one. Service-minded staff will welcome and guide you at the Grand Surya Hotel Kediri. Guestrooms are designed to provide an optimal level of comfort with welcoming decor and some offering convenient amenities like television LCD/plasma screen, non smoking rooms, air conditioning, wake-up service, desk. The hotel's peaceful atmosphere extends to its recreational facilities which include hot tub, fitness center, sauna, outdoor pool, spa. Grand Surya Hotel Kediri combines warm hospitality with a lovely ambiance to make your stay in Kediri unforgettable.",459,"8,10",603791
230407,Hotel Merdeka Kediri,Jl Basuki Rahmat 4,Kediri,East Java,"3,00",https://www.agoda.com/partners/partnersearch.aspx?hid=230407,http://pix4.agoda.net/hotelimages/230/230407/230407_13112116280017716850.jpg?s=312x,http://pix4.agoda.net/hotelimages/230/230407/230407_13112116280017716841.jpg?s=312x,http://pix1.agoda.net/hotelimages/230/230407/230407_13112116280017716836.jpg?s=312x,http://pix4.agoda.net/hotelimages/230/230407/230407_13112116280017716837.jpg?s=312x,http://pix4.agoda.net/hotelimages/230/230407/230407_13112116280017716838.jpg?s=312x,"Stop at Hotel Merdeka Kediri to discover the wonders of Kediri. The hotel offers a wide range of amenities and perks to ensure you have a great time. To be found at the hotel are 24-hour room service, Wi-Fi in public areas, car park, room service, restaurant. Some of the well-appointed guestrooms feature air conditioning, wake-up service, desk, balcony/terrace, telephone. The hotel offers various recreational opportunities. Discover all Kediri has to offer by making Hotel Merdeka Kediri your base.",154,"7,40",372244
230408,Hotel Polonia Medan Managed by Topotels,Jalan Jendral Sudirman No 14,Medan,North Sumatera,"4,00",https://www.agoda.com/partners/partnersearch.aspx?hid=230408,http://pix2.agoda.net/hotelimages/230408/-1/97e146c9bd64b4424c506832aacb2e48.jpg?s=312x,http://pix3.agoda.net/hotelimages/230/230408/230408_19010711330071123326.jpg?s=312x,http://pix1.agoda.net/hotelimages/230408/-1/09a69bc5f27b0e2cd5f0b770e9952332.jpg?s=312x,http://pix3.agoda.net/hotelimages/230408/-1/39bd78d5760373ee7260d1125681003f.jpg?s=312x,http://pix4.agoda.net/hotelimages/230408/-1/b6a706e1331bea6df8ea00b9a7f36c8c.jpg?s=312x,"Hotel Polonia Medan Managed by Topotels is perfectly located for both business and leisure guests in Medan. Both business travelers and tourists can enjoy the hotel's facilities and services. To be found at the hotel are 24-hour room service, free Wi-Fi in all rooms, 24-hour front desk, express check-in/check-out, Wi-Fi in public areas. Designed for comfort, selected guestrooms offer television LCD/plasma screen, bathroom phone, mirror, internet access – wireless, internet access – wireless (complimentary) to ensure a restful night. Recuperate from a full day of sightseeing in the comfort of your room or take advantage of the hotel's recreational facilities, including fitness center, sauna, outdoor pool, massage, squash courts. Hotel Polonia Medan Managed by Topotels is an excellent choice from which to explore Medan or to simply relax and rejuvenate.",520,"7,30",407860
